url,contract_address,collection,description,category,blockchain
https://opensea.io/collection/fishmafia-nfts,0x0e5afd99ab6234fe73c76ea1a78a48e27a69dba6,FishMafia NFTs,Fully animated arts pixel mafia | 0% royalties | CC0,arts,ethereum
https://opensea.io/collection/techieclubgenesis,0x0ef4ec4f5d1be5c117721df3c24e09bc18b953d5,TechieClubGenesis,A collection of 5555 arts Genesis Techies. Our vision is to supercharge web3 education and help you build a career you love. Anyone can be a techie!,arts,ethereum
https://opensea.io/collection/oof-collective-official,0x0f5ac1716d088b52869a3cfe28f10ddfcc565e94,OOF Collective Official,The First Degen Blue Chip 🏆,arts,ethereum
https://opensea.io/collection/ledger-market-black-on-black-nano-x,0x0f77625b76e3831914d47a5034323290f9ce8a9e,[ Ledger ] Market – Black-on-Black Nano X,"Trade this NFT for one of Ledger's limited edition Black-on-Black Nano X hardware wallets. Starting November 3, 2022, each NFT can be used to redeem at market.ledger.com/bobnx. Upon redemption, the NFT is permanently destroyed.  Technical note: A snapshot of holders of the [ Ledger ] Market Pass - Genesis Edition NFT was taken at block height 15767683 on October 17, 2022. This collection of NFTs was airdropped to those addresses.",arts,ethereum
https://opensea.io/collection/pixel-wolf-nft,0x102fdffe057de21609eed3419af94330a3ffea1c,Pixel Wolf NFT,"Every wolf will fly to the moon, own them before they reach the moon.",arts,ethereum
https://opensea.io/collection/moonbirds-moonie,0x1082cb089de2ed91cbab338850da50d56496837d,MOONBIRDS MOONIE,Moonbirds Moonie is a collection of 1500 Moonies which are ready to moon🚀🚀  **SOLD OUT**,arts,ethereum
https://opensea.io/collection/soaring-cryptobirbs-by-nizo,0x10c26dc2b16c9aaf6aa36eb652c7e525ebac17db,Soaring CryptoBirbs By Nizo Yamamoto,"{高騰するクリプトバード} Soaring CryptoBirb, a collection of only 2,000 CryptoBirbs arts that have been hand-animated by Nizo, a legendary Japanese animation master who is planning on debuting his work in Art Basel 2022, in collaboration with Vodnik's CC0 CryptoBirbs.  1000 Nizo SuperRare holders will premint for mint at exclusive exhibition in our 'Shibuya gallery'. 1000 will be made public 11/30 at 4 PM JST. Max 5/wallet at 0.0099 E. SOLD OUT.  Let's Soar!~",arts,ethereum
https://opensea.io/collection/project-overborne,0x10d7a2ed0eecf1a1b26e9deddcbd9fa96c8c3ff2,Project Overborne,"Mint is [live](https://premint-overborne.com)! OVERBORNE is a Web3 Streetwear Brand with dynamic, evolving NFTs set in an apocalyptic world overrun with Demons as well as the synthetic androids known as Hollows designed to combat them. Founded by leading art industry professionals JimboBox and IRONPINKY.",arts,ethereum
https://opensea.io/collection/notditto,0x111508edbeb2e906a40fd92e8b4cfaffc606c6dd,NOT DITTO,"not dittto is an nft that can morph into other nfts  freemint, 0% royalty, just for fun.",arts,ethereum
https://opensea.io/collection/neontools,0x1178d1da81ca8c128c5e81d4295f65dd51e1e3dc,NeonTools | Node,Information  - Supply: 1500 - Speedtest: Check discord (we are the fastest) - 4 servers located all around the world  You must be holder in order to use the node!,arts,ethereum
https://opensea.io/collection/numbers-in-motion,0x1188de2a532261c842bf61f9ad6925f1e23a4bdb,Numbers In Motion,"There is beauty in mathematics.  Each image represents one of seven types of motions. Inspired by spirographs, where the movement and rotation of lines or circles around an axis plotted through trigonometric functions creates a unique pattern.",arts,ethereum
